location,count
Coventry-Baginto...,5
Krasnoyarsk Airp...,5
near Manila,5
near Irkutsk Airport ...,5
Hamilton Airport...,5
Tacoma-McChord A...,5
Aberdeen-Dyce Ai...,5
near Kisangani,5
Milano-Malpensa ...,5
near Khartoum,5
Misamari,5
Monrovia-Roberts...,5
Sverdlovsk-Kolts...,5
Donetsk Airport ...,5
San Juan,5
near Amsterdam-Schiph...,5
near Magadan,5
Kyiv-Gostomel Ai...,5
Brisbane-Eagle F...,5
Nassau Internati...,5
near Kano Internation...,5
Chicago Municipa...,5
Washington-Natio...,5
Aberdeen Airstrip,5
Myitkyina North,5
Florence-Peretol...,5
near Ankara-Esenboga ...,5
Pittsburgh-Alleg...,5
near Tokyo,5
El Fasher Airpor...,5
Atlanta Hartsfie...,5
Washington-Ronal...,5
near ZÃ¼rich-Kloten A...,5
near Mohanbari,5
Tel Aviv-Lod Int...,5
Bermuda-Kindley ...,5
Lae-Nadzab Airpo...,5
"New York, NY",5
Arkhangelsk Airp...,5
Rimouski Airport...,5
Fuzhou Yixu Airp...,5
near Juba Airport (JUB),5
Taipei-Songshan ...,5
Managua-Augusto ...,5
Odessa-Central A...,5
Tunis-Carthage A...,5
Harare Airport (...,5
Tel Aviv-Ben Gur...,5
Georgetown-Widea...,5
Oakland Internat...,5
Carlsbad-McClell...,5
Winnipeg-James A...,5
Hyannis-Barnstab...,4
near Miraflores Airpo...,4
near Flores-Santa Ele...,4
San Juan-Fernand...,4
Goose Bay Airpor...,4
Quonset Point NA...,4
near Vancouver Intern...,4
San Antonio-Kell...,4
near Anadyr,4
Sam Neua Airport...,4
Pembroke Dock,4
Beauvais-TillÃ© ...,4
near Fernando de Noro...,4
Alma-Ata Airport...,4
near Beirut Internati...,4
Yerevan Airport ...,4
"near Denver, CO",4
Pontianak-Supadi...,4
BogotÃ¡,4
Mulia Airport (LII),4
Honolulu Interna...,4
Louisville-Stand...,4
Ho Chi Minh City...,4
"Pensacola NAS, F...",4
