,type,count
498,Handley Page Marathon T.2,7
499,C-115 Buffalo (DHC-5),7
500,DHC-8-102,7
501,Douglas C-133A Cargomaster,7
502,Boeing 747-237B,7
503,Ford 4-AT-A Tri-Motor,7
504,Grumman SA-16B Albatross,7
505,CASA C-212 Aviocar 100,7
506,Boeing 707-373C,7
507,Boeing 720-047B,7
508,Ilyushin Il-76T,7
509,Junkers Ju-52/3mg3e,7
510,Cessna 525B CitationJet CJ3,7
511,Avro 748-105 Srs. 1,7
512,Short Sunderland GR.3,7
513,Beech B300 King Air 350i,7
514,Canadair Challenger 600,7
515,Douglas DC-8-43,7
516,Boeing 737-230,7
517,Lockheed P2V Neptune,7
518,Douglas R4D-8 (Super DC-3),7
519,BAe-125-800B,7
520,Junkers Ju-52/3mfe,7
521,BN-2B-27 Islander,7
522,BAe-125-700B,7
523,Dassault Falcon 20E,7
524,Cessna 510 Citation Mustang,7
525,Martin P5M-1 Marlin,7
526,Canadair CRJ-100ER,7
527,Douglas R6D-1 (DC-6),7
528,Ilyushin Il-86,7
529,Learjet 45,7
530,Cessna 650 Citation VII,7
531,Ilyushin Il-76,7
532,Fokker F-27 Friendship 400,7
533,Airbus A330-243,7
534,Saab 2000,7
535,Bombardier Challenger 300,7
536,Lockheed L-1049 Super Constellation,7
537,Avro Shackleton MR.3,7
538,Antonov An-124-100,7
539,Beech B200C Super King Air,7
540,Breguet 1150 Atlantic,7
541,Vickers Viscount,7
542,Cessna 525A CitationJet CJ2+,7
543,Bristol 170 Freighter 31E,7
544,Canadair C-54GM North Star,7
545,PZL-Mielec M28 Skytruck,7
546,Boeing 737-2A1,7
547,Boeing 737-3Y0,7
548,Dassault Falcon 20D,7
549,Junkers G.24,7
550,Boeing 720,7
551,DC-10-30CF,7
552,Vickers 757 Viscount,7
553,Handley Page HP.81 Hermes IVA,7
554,Fairchild F-27F,7
555,Airbus A319-114,7
556,Grumman American G-1159 Gulfstream II,7
557,DC-9-51,7
558,Douglas DC-2-118B,6
559,BN-2A Trislander Mk.III-1,6
560,Boeing 727-281,6
561,Vickers 768D Viscount,6
562,Convair CV-440-62,6
563,Cessna 525 CitationJet CJ1,6
564,Transall C-160NG,6
565,Boeing 707-366C,6
566,BN-2B-21 Islander,6
567,Boeing 727-2F2,6
568,Junkers Ju-52,6
569,DC-9-14,6
570,Consolidated PBY-4 Catalina,6
571,Canadair CL-44D4-2,6
572,Antonov An-24T,6
573,Cessna 560 Citation Ultra,6
574,Douglas DC-3A-197,6
575,LatÃ©coÃ¨re 631,6
576,BN-2A-26Â Islander,6
577,Douglas DC-8-55F,6
578,Avro RJ85,6
579,Canadair Challenger 601-3A,6
580,Airbus A300B4-605R,6
581,OA-10A Canso A (PBY-5A),6
582,Avro Shackleton MR.1,6
583,BN-2A-21Â Islander,6
584,Lockheed Hercules C.1 (C-130K),6
585,Antonov An-12AP,6
586,Budd RB-1 Conestoga,6
587,DHC-6 Vista Liner 300,6
588,BAe-146-200,6
589,Airbus A300,6
590,Canadair Challenger 604,6
591,Embraer C-95 Bandeirante (EMB-110),6
592,Lockheed C-5A Galaxy,6
593,Martin PBM-5A Mariner,6
594,Douglas DC-3A-191,6
595,Douglas EC-47Q,6
596,Convair CV-440-86,6
597,Dornier 228-202,6
598,SE-210 Caravelle 10B3,6
599,Lockheed 18 Learstar,6
600,Hawker 800XP,6
601,de Havilland  DH-106 Comet 4,6
602,Morane Saulnier MS.760B Paris II,6
603,Hawker Siddeley HS-121 Trident 1C,6
604,Cessna 208A Caravan I,6
605,Lockheed Neptune MR.1,6
606,Airbus A320-212,6
607,Cessna 525C Citation CJ4,6
608,Learjet 31A,6
609,DHC-8-202Q Dash 8,6
610,Boeing 707-327C,6
611,Alenia G-222TCM,6
612,FMA IA 50 GuaranÃ­ II,6
613,Airbus A330-202,6
614,Douglas EC-47P,6
615,Antonov An-32A,6
616,Lockheed C-141A-LM Starlifter,6
617,BAe-146-300,6
618,Antonov An-10,6
619,Beech 300 King Air 350ER,6
620,Boeing 707-351C,6
621,Savoia-Marchetti S.73,6
622,Boeing 737-33A,6
623,Douglas DC-3-313,6
624,ATR 42-312,6
625,DH.86B Express,6
626,Howard 500,6
627,Vickers 708 Viscount,6
628,Antonov An-74-200,6
629,Yakovlev Yak-42D,6
630,Lockheed P2V-3W Neptune,6
631,UC-1 Otter (DHC-3),6
632,Embraer EMB-110 Bandeirante,6
633,Bombardier DHC-8-402Q Dash 8,6
634,Bombardier Global 5000,6
635,Boeing 707-331C,6
636,Hawker Siddeley HS-780 Andover C.1,6
637,Ilyushin Il-18,6
638,Boeing 727-235,5
639,Convair CV-600,5
640,Volpar Turboliner II,5
641,Boeing 727-46,5
642,Beech 300LW Super King Air,5
643,DC-9-41,5
644,Curtiss C-46R,5
645,Embraer C-95B Bandeirante (EMB-110),5
646,Cessna 560XL Citation XLS,5
647,Rockwell Sabreliner 40A,5
648,Airbus A310-324,5
649,Douglas C-49K (DC-3),5
650,Learjet 24A,5
651,Shorts 330-100,5
652,Vickers 639 Viking 1,5
653,Lockheed C-130J-30 Super Hercules,5
654,BAe 3201 Jetstream 32EP,5
655,Douglas R4D-7 (DC-3),5
656,Canadair DC-4M2 North Star,5
657,BN-2T Turbine Islander,5
658,Douglas C-54Q (DC-4),5
659,Douglas R5D-2 (DC-4),5
660,DHC-8-103,5
661,Dewoitine D.338,5
662,Lockheed CC-130E Hercules,5
663,Tupolev Tu-154A,5
664,DH.66 Hercules,5
665,Tupolev G-2,5
666,Douglas C-48B (DC-3),5
667,Vickers 812 Viscount,5
668,Boeing 727-224,5
669,Junkers Ju-52/3mg14e,5
670,Airbus A300B2-203,5
671,Learjet 31,5
672,Dornier 228-101,5
673,Douglas SC-47A,5
674,Boeing 707-331B,5
675,Beech 300 Super King Air 350,5
676,Vickers Valetta T.3,5
677,Junkers Ju-52/3mce,5
678,Antonov An-26-100,5
679,Douglas R4D-3 (DC-3),5
680,Convair CV-240-1,5
681,Scottish Aviation Twin Pioneer 2,5
682,Fairchild F-27J,5
683,Airbus A300B2-101,5
684,Lockheed PV-2 Harpoon,5
685,Antonov An-72,5
686,Curtiss T-32C Condor II,5
687,Boeing KC-135R,5
688,Consolidated 16 Commodore,5
689,Airbus A321-131,5
690,Raytheon Hawker 800XP,5
691,CSR-123 Otter (DHC-3),5
692,ATR 72-500 (72-212A),5
693,A.W. AW-660 Argosy C.1,5
694,Avia 14-32A,5
695,Boeing 737-247,5
696,BAe 3112 Jetstream 31,5
697,Boeing 727-23,5
698,SNCASO SO.30P Bretagne,5
699,Learjet C-21A (Learjet 35A),5
700,Douglas R5D-1 (DC-4),5
701,Boeing 737-2T4,5
702,Boeing 737-287C,5
703,Antonov An-26RT,5
704,Douglas DC-8-53,5
705,VEB 14P,5
706,Boeing 707-437,5
707,Douglas DC-2-118A,5
708,Boeing 727-256,5
709,SE-210 Caravelle 10R,5
710,Cessna 208A Cargomaster,5
711,Canadair CC-106 Yukon (CL-44),5
712,Boeing 727-200,5
713,Boeing 707-123B,5
714,Douglas TS-62 (DC-3),5
715,Douglas DC-9-15,5
716,Airbus A340-313,5
717,Convair CV-240-6,5
718,Hawker Siddeley HS-125-1A-522,5
719,PB2B-2 Catalina,5
720,Handley Page HP.42E,5
721,Boeing 727-225,5
722,Viking Air DHC-6 Twin Otter 400,5
723,Antonov An-22,5
724,Boeing 707-324C,5
725,Airbus A330-343,5
726,Rockwell T-39D Sabreliner,5
727,Scottish Aviation Twin Pioneer CC.2,5
728,Transall C-160D,5
729,Lockheed 14-08 Super Electra,5
730,Boeing 727-22,5
731,Avia 14T,5
732,Dassault Falcon 20DC,5
733,Lockheed RB-69A Neptune,5
734,DH.91 Albatross,5
735,Lockheed 18 Learstar II,5
736,NAMC YS-11A-202,5
737,Boeing 707-436,5
738,Gulfstream American G-1159 Gulfstream II,5
739,Boeing 707-3J9C,5
740,Lockheed 414-08 Hudson IVA,5
741,Howard 250,5
742,Gulfstream G150,5
743,PADC/BN-2A-26 Islander,5
744,Cessna 550 Citation Bravo,5
745,Boeing 727-230,5
746,Hawker Siddeley HS-125-600A,5
747,Rockwell 1121B Jet Commander,5
748,Boeing 747-136,5
749,Convair CV-580F,5
750,Lockheed AC-130A Spectre,5
751,Antonov An-22A,5
752,Junkers Ju-52/3msai,4
753,Boeing 737-2M2,4
754,Shorts S.45 Solent 3,4
755,Lockheed EC-121K Super Constellation,4
756,Boeing 737-322,4
757,Sikorsky S-43B,4
758,BN-2A Trislander Mk.III,4
759,Boeing S.307B-1 Stratoliner,4
760,DHC-8-311,4
761,Curtiss Condor 18,4
762,Morane Saulnier (FMA) MS.760A Paris IA,4
763,Lockheed Ventura,4
764,Vickers 754D Viscount,4
765,Lockheed HC-130P Combat King,4
766,Lockheed L-1329-25 JetStar II,4
767,Learjet 24F,4
768,Swearingen SA226-AT Merlin IVA,4
769,Convair CV-240-12,4
770,Boeing 787-8,4
771,A.W. AW-650 Argosy 222,4
772,Douglas LC-47H,4
773,Scottish Aviation Twin Pioneer 3,4
774,Boeing 707-328,4
775,Boeing 707-124,4
776,Bombardier Global Express,4
777,NAMC YS-11,4
778,Dassault Falcon 900EX,4
779,Curtiss AT-32A Condor II,4
780,Tupolev Tu-124,4
781,Douglas DC-8-51,4
782,Douglas DC-2-115B,4
783,Boeing 737-8HG (WL),4
784,Boeing 727-2B6,4
785,Boeing S.307 Stratoliner,4
786,Fiat G.212CP,4
787,Boeing 767-33AER,4
788,Vickers Valentia,4
789,Dornier 228-202K,4
790,Hawker Siddeley HS-125-600B,4
791,CASA/IPTN NC-212 Aviocar 200,4
792,Hawker Siddeley HS-121 Trident 1E,4
793,Boeing 747-436,4
794,HAL/Dornier 228-201,4
795,Vickers 837 Viscount,4
796,Boeing 737-86N (WL),4
797,Antonov,4
798,Boeing C-97A,4
799,CASA C-212-M Aviocar 300,4
800,CASA C-212 Aviocar 300,4
801,Farman F.63bis Goliath,4
802,Boeing 767-375ER,4
803,Lockheed SP-2E Neptune,4
804,Lockheed L-1329 JetStar I,4
805,Antonov An-24TV,4
806,Lockheed C-121J Super Constellation,4
807,Lockheed L-1329 JetStar 731,4
808,Canadair C-4 Argonaut,4
809,Rockwell Sabreliner 80,4
810,Kaiser-Frazer C-119F Flying Boxcar,4
811,Volpar Turboliner,4
812,NAMC YS-11A-213,4
813,MD-82,4
814,Fokker F-27 Friendship 500RF,4
815,Antonov An-74,4
816,SE-210 Caravelle 11R,4
817,Boeing 720-030B,4
818,Boeing 747SR-46,4
819,Boeing 757-222,4
820,Sabca Savoia-Marchetti S.73P,4
821,Convair CV-240-23,4
822,Catalina IVB (PBY-5A),4
823,Douglas DC-8-33,4
824,DHC-3T/M601 Turbine Otter,4
825,Rockwell T-39N Sabreliner,4
826,Airbus A340-312,4
827,Grumman SA-16B Albatross (HU-16),4
828,Bristol 170 Freighter IA,4
829,Boeing 737-281,4
830,Cirrus SF50 Vision Jet,4
831,Fokker F.VIII,4
832,Airbus A321-231 (WL),4
833,Convair CV-240-13,4
834,DHC-8-315Q Dash 8,4
835,Bombardier CRJ-701ER,4
836,Boeing 737-275,4
837,Boeing 737-2H6,4
838,Lockheed P2V-6 Neptune,4
839,Lockheed P2V-4 Neptune,4
840,Airbus A300B2-1C,4
841,Canadair CL-44D4-1,4
842,Douglas C-117D Super DC-3,4
843,Boeing 737-260,4
844,Boeing 727-228,4
845,Boeing 737-3H4 (WL),4
846,Vickers 843 Viscount,4
847,DC-10-30F,4
848,Cessna 560XLS+ Citation XLS+,4
